Country;ID League;League;OK KPI;Prioritaire
World;Cup;International Champions Cup Women;NON;NON
World;Cup;International Champions Cup;NON;NON
World;Other;Friendly International Women;NON;NON
World;Other;Friendly International;NON;NON
World;Cup;FIFA Confederations Cup;NON;NON
World;Cup;FIFA Club World Cup;NON;NON
World;Cup;Dublin Super Cup;NON;NON
World;Other;COTIF Tournament;NON;NON
World;Copa;Copa Tijuana;NON;NON
World;Copa;Copa Euroamericana;NON;NON
World;Other;Club Friendly Women;NON;NON
World;Other;Club Friendly;NON;NON
World;Cup;CIS Cup;NON;NON
World;Cup;China Cup;NON;NON
World;Other;Chicago Trophy;NON;NON
World;Cup;CEE Cup;NON;NON
World;Other;Brussels Tournament;NON;NON
World;Other;Berlusconi Trophy;NON;NON
World;Cup;Bangabandhu Gold Cup;NON;NON
World;Cup;Audi Cup;NON;NON
World;Cup;Arab Cup of Nations;NON;NON
World;Cup;Arab Club Champions Cup;NON;NON
World;Cup;Algarve Cup Women;NON;NON
