opponent_rank;coeff
1;1.5
2;1.5
3;1.5
4;1.5
5;1.5
6;1.3
7;1.3
8;1.3
9;1.3
10;1.3
11;1.2
12;1.2
13;1.2
14;1.2
15;1.2
16;1
17;1
18;1
19;1
20;1
21;0.9
22;0.9
23;0.9
24;0.9
25;0.9
26;0.85
27;0.85
28;0.85
29;0.85
30;0.85
31;0.8
32;0.8
33;0.8
34;0.8
35;0.8
36;0.75
37;0.75
38;0.75
39;0.75
40;0.75
